Hora,Temperatura,Sa’da
18.03121674,38,1
8.734532438,40,1
2.618541033,44,1
18.1010577,27,0
8.358091367,29,0
16.64841047,20,0
11.88361609,6,1
18.2215373,17,0
8.461523862,2,1
20.44775063,15,0
1.664731055,42,1
3.7039576,19,0
5.328396237,35,1
0.768218372,9,0
13.21235987,38,0
0.905236031,5,0
1.051700201,5,0
19.74265252,10,0
4.613465666,23,0
1.408386023,29,1
21.03668183,25,0
18.03998749,32,0
17.04508659,24,0
18.94266773,33,0
22.00500569,17,0
12.27539065,22,1
17.38227971,33,0
16.85006309,32,0
0.184777244,19,0
12.89110231,8,1
17.76479506,14,1
3.041688787,20,0
13.93566848,41,1
10.2168428,4,1
22.86799032,6,0
22.4418859,8,0
21.85340895,39,1
18.10173309,34,0
19.72506275,2,1
10.86800481,34,0
2.567577595,33,1
22.48206828,11,0
11.26174942,33,0
19.79170734,23,0
1.75130913,45,1
7.264201104,9,0
5.466040192,37,1
21.99884995,39,1
10.99201988,36,1
20.62041361,43,1
5.788769812,30,1
7.879499095,37,1
23.0624946,1,0
12.93949776,25,0
20.73000719,8,0
14.38131194,19,0
22.86849323,3,0
1.790088712,35,1
18.97550868,31,1
11.25581739,20,0
23.81731645,34,1
14.43549821,15,1
16.50441158,37,0
14.54461739,17,0
23.78263432,36,1
23.40206215,42,1
20.71758473,19,0
11.81219231,43,1
15.08911704,40,0
9.215408092,10,1
20.23352395,34,1
13.25707296,12,1
8.413727047,23,0
0.099139841,43,1
19.80381131,15,0
7.652765833,17,0
2.107942337,21,0
10.80735924,33,0
23.40653596,20,0
23.24835443,12,0
22.86211682,33,1
13.29544251,31,0
1.079935073,27,0
2.767286886,4,1
9.365659784,19,0
3.38834317,33,1
23.45716882,15,0
11.92057988,24,0
15.74742245,42,1
4.181798203,18,0
8.675116256,13,0
20.48655686,2,1
18.03503552,24,0
13.68470852,3,1
9.31343538,45,1
20.29925695,25,0
6.967121797,24,0
18.11589843,16,0
0.3091878,19,0
